"RingNR","Opponent1_ID","Opponent2_ID","TrialID","GroupID","Producing_events","Scrounging_events","TrialNR_Indiv","Trial_day_bin","Grp_tr_b4","bmr_YN","Year","Series_ID_year","Series_opp1_year","Series_opp2_year"
"8P26887","8P26891","8P26888","10_1",1,1,1,2,0,0,1,2022,"8P26887_2022","8P26891_2022","8P26888_2022"
"8P26888","8P26887","8P26891","10_1",1,3,0,2,0,0,1,2022,"8P26888_2022","8P26887_2022","8P26891_2022"
"8P26891","8P26888","8P26887","10_1",1,1,2,2,0,0,1,2022,"8P26891_2022","8P26888_2022","8P26887_2022"
"8P14992","8P26887","8P26888","11_1",1,2,0,2,0,0,1,2022,"8P14992_2022","8P26887_2022","8P26888_2022"
"8P26887","8P26888","8P14992","11_1",1,1,0,3,0,0,1,2022,"8P26887_2022","8P26888_2022","8P14992_2022"
"8P26888","8P14992","8P26887","11_1",1,2,0,3,0,0,1,2022,"8P26888_2022","8P14992_2022","8P26887_2022"
"8P26889","8P26891","8P26890","11_3",1,3,0,2,0,0,1,2022,"8P26889_2022","8P26891_2022","8P26890_2022"
"8P26890","8P26889","8P26891","11_3",1,1,2,2,0,0,1,2022,"8P26890_2022","8P26889_2022","8P26891_2022"
"8P26891","8P26890","8P26889","11_3",1,0,2,3,0,0,1,2022,"8P26891_2022","8P26890_2022","8P26889_2022"
"8P14992","8P26890","8P26889","12_2",1,5,0,3,0,0,1,2022,"8P14992_2022","8P26890_2022","8P26889_2022"
"8P26889","8P14992","8P26890","12_2",1,3,0,3,0,0,1,2022,"8P26889_2022","8P14992_2022","8P26890_2022"
"8P26888","8P26890","8P26889","13_1",1,4,0,4,0,0,1,2022,"8P26888_2022","8P26890_2022","8P26889_2022"
"8P26890","8P26889","8P26888","13_1",1,1,0,4,0,0,1,2022,"8P26890_2022","8P26889_2022","8P26888_2022"
"8P14992","8P26887","8P26891","13_2",1,6,0,4,0,0,1,2022,"8P14992_2022","8P26887_2022","8P26891_2022"
"8P26887","8P26891","8P14992","13_2",1,1,1,4,0,0,1,2022,"8P26887_2022","8P26891_2022","8P14992_2022"
"8P26891","8P14992","8P26887","13_2",1,1,1,4,0,0,1,2022,"8P26891_2022","8P14992_2022","8P26887_2022"
"8P14992","8P26891","8P26888","15_3",1,5,0,1,1,0,1,2022,"8P14992_2022","8P26891_2022","8P26888_2022"
"8P26888","8P14992","8P26891","15_3",1,2,3,1,1,0,1,2022,"8P26888_2022","8P14992_2022","8P26891_2022"
"8P26891","8P26888","8P14992","15_3",1,2,0,1,1,0,1,2022,"8P26891_2022","8P26888_2022","8P14992_2022"
"8P26888","8P26890","8P26891","16_1",1,3,0,2,1,0,1,2022,"8P26888_2022","8P26890_2022","8P26891_2022"
"8P26891","8P26888","8P26890","16_1",1,1,0,2,1,0,1,2022,"8P26891_2022","8P26888_2022","8P26890_2022"
"8P14992","8P26887","8P26889","16_2",1,5,0,2,1,0,1,2022,"8P14992_2022","8P26887_2022","8P26889_2022"
"8P26887","8P26889","8P14992","16_2",1,1,0,1,1,0,1,2022,"8P26887_2022","8P26889_2022","8P14992_2022"
"8P26889","8P14992","8P26887","16_2",1,2,0,1,1,0,1,2022,"8P26889_2022","8P14992_2022","8P26887_2022"
"8P26887","8P26889","8P26890","17_1",1,1,1,2,1,0,1,2022,"8P26887_2022","8P26889_2022","8P26890_2022"
"8P26889","8P26890","8P26887","17_1",1,3,0,2,1,0,1,2022,"8P26889_2022","8P26890_2022","8P26887_2022"
"8P26890","8P26887","8P26889","17_1",1,1,0,2,1,0,1,2022,"8P26890_2022","8P26887_2022","8P26889_2022"
"8P14992","8P26890","8P26889","18_2",1,1,0,3,1,0,1,2022,"8P14992_2022","8P26890_2022","8P26889_2022"
"8P26889","8P14992","8P26890","18_2",1,1,0,3,1,0,1,2022,"8P26889_2022","8P14992_2022","8P26890_2022"
"8P26890","8P26889","8P14992","18_2",1,2,0,3,1,0,1,2022,"8P26890_2022","8P26889_2022","8P14992_2022"
